,pred
122,222670.87619925238
123,180333.6752208326
124,204713.59960345764
125,209819.68091171145
126,240144.13231307268
127,315863.54697880097
128,203259.35895092142
129,175467.5776865486
130,235544.27874589898
131,320482.16249410214
132,186217.0491579836
133,201835.08262974885
134,175036.0288761539
135,153836.62221065193
136,129870.79653170992
137,118616.1421656719
138,199336.07742648563
139,195106.29013024413
140,207015.28276299304
141,386584.37472140306
142,177731.3005072433
143,190939.07540283736
144,200411.6145884939
145,200270.74173045717
146,132228.88540762087
147,130808.86741091615
148,162731.74306340603
149,201786.32493525042
150,236707.70456435895
151,376168.7837471271
152,321540.2920606373
153,274001.1237843277
154,97988.28378660113
155,153446.456905751
156,317335.7511197382
157,248732.09453690646
158,184886.21532668345
159,219740.45543983334
160,115981.67158504837
161,241302.58406140358
162,174857.66816834031
163,183076.36004398848
164,207702.9429541738
165,182400.0226503338
166,167249.7224859087
167,184431.0298333221
168,198255.91532580665
169,297386.86647986417
170,206707.85116131647
171,214666.765526608
172,148044.92360608038
173,199030.51197209465
174,141386.06072234476
175,164399.67373698534
176,202711.16818781698
177,159666.99079796788
178,246470.24139464655
179,121083.71228921275
180,192211.69766203553
181,118364.21262149153
182,169337.63137893178
183,172827.5566040045
184,278014.1056273607
185,229620.42908332907
186,192835.4520707544
187,315445.3351014713
188,207055.45953636125
189,192541.00698415027
190,217521.3810026197
191,240013.90743322228
192,181125.59340262937
193,208924.3598828305
194,124324.0939101979
195,286795.7904969689
196,118117.90635954123
197,177230.99356505048
198,284068.6805665287
199,175258.51383641004
200,217534.5125357471
201,169827.20071268323
202,166165.9167459184
203,295183.4857267586
204,203700.39694474227
205,67383.34138064258
206,184059.67355603774
207,199706.02327664034
208,195301.74938436598
209,159597.34358646677
210,299839.58023978653
211,197552.60613434296
212,175111.21982422617
213,108656.29211283376
214,319867.42366905534
215,144510.21552056272
216,218744.35274178855
217,242247.26956450669
218,191121.29054956548
219,279280.1486899644
220,345790.3320670763
221,378042.1596371944
222,178838.02867638302
223,101750.70201598378
224,138667.34459988176
225,248569.6737073926
226,183430.81263260508
227,68255.49600253325
228,164543.25684119386
229,182766.7624401185
230,140733.06324478262
231,231052.88830768847
232,293175.1096381442
233,202976.03293628088
234,187784.76836613033
235,142043.65578267453
236,275374.6157605798
237,169193.21095625748
238,168203.07395915323
239,257621.79922937654
240,123220.27898368641
241,393891.48940132745
242,220262.97829529655
243,243884.9312140618
244,171446.6428021699
245,399464.65485319117
246,136263.7707602705
247,120658.6009350028
248,152648.75498622094
249,298690.8150893553
250,195579.46571620714
251,164051.23146536533
252,276804.50944165664
253,166398.79192372988
254,205435.60933152385
255,237732.16890300717
256,155532.56285521944
257,72737.35645213201
258,235875.9528396422
259,129736.44183507288
260,182416.43312115764
261,182841.2679706737
262,223523.28387843404
263,348442.1880248743
264,173903.68538892717
265,135086.17330753445
266,226951.96201461437
267,173724.41315238897
268,214498.2861129716
269,133829.78171367786
270,195323.70335730852
271,281317.83602819225
272,234436.18136657393
273,212385.49415659922
274,128351.02997271637
275,271169.6273866847
276,113660.51712484138
277,306160.11538127484
278,150447.59740007066
279,162459.5721154054
280,167429.62642575757
281,176863.48751545884
282,170596.35288697298
283,263096.3203109772
284,216031.9378848218
285,169924.26497687315
286,195354.81669123084
287,162877.9249619479
288,220232.95850541122
289,185052.70594559878
290,162725.13192459397
291,225620.14858112004
292,286220.3624333202
293,157922.8138336469
294,429586.836908173
295,230534.01474363453
296,230806.11075473356
297,149902.6920632804
298,289279.0014857363
299,97086.86329905136
300,177860.13077568766
301,184574.8314727186
302,208486.20813795287
303,107835.17430960466
304,178925.52193849147
305,188439.12832165192
306,168255.1422184665
307,146519.60983369188
308,198320.2976871068
309,209517.57832558762
310,282528.5822361698
311,189608.4799263034
312,503181.384706752
313,216254.2127729695
314,126336.48146272944
315,187878.20231122433
316,220338.54590374607
317,142470.01861547175
318,144905.0778706914
319,107921.79491657442
320,172870.0421392073
321,120888.4841414025
322,114058.48699427543
323,175863.10335137259
324,184051.54568698094
325,127048.94472486807
326,237712.5697567087
327,178150.50624675592
328,144847.04356848527
329,177370.97025630026
330,123359.73810648458
331,164348.782771233
332,223458.29806617877
333,103129.68478444646
334,268557.7500085568
335,178417.96402329463
336,213940.30550555856
337,132635.55349063347
338,210128.66536802563
339,114977.25917392924
340,263656.47274250526
341,200255.2670509222
342,245489.91408108757
343,236700.43393251125
344,206320.2036937568
345,163286.14168994146
346,246553.01253850554
347,267188.45209336525
348,181374.05597312548
349,116075.21490562329
350,389634.76374263666
351,180324.45208507509
352,138420.61611316324
353,117374.59071744449
354,167581.25434405624
355,429923.97405842977
356,126189.3924557018
357,183809.46249805187
358,184100.28236205783
359,338847.6787031154
360,193505.47218632128
361,238719.73953555644
362,114657.0247890864
363,210297.77485093902
364,174652.3320994355
365,155285.08127098042
366,186156.88376396318
367,201688.89637967743
368,106812.02683045015
369,377821.9002817524
370,203862.91500068604
371,275168.9570915003
372,350047.82046298357
373,248290.5064492203
374,449472.1487385033
375,229150.9038087953
376,101700.8153307696
377,193188.8115075699
378,237169.88434649436
379,211858.8581816597
380,220328.43504691139
381,489717.3374185355
382,178342.86355586373
383,217979.38863561724
384,213975.49893228456
385,196296.08468446173
386,235350.02552199815
387,148133.277852302
388,146542.0253950494
389,194687.49484670765
390,255786.3021145888
391,252557.73265104886
392,284471.35047238437
393,142802.08921177895
394,150926.5016823468
395,263339.45849955187
396,170363.3214404666
397,204997.16854921967
398,223484.13977034122
399,210862.08979362773
400,149097.90691429572
401,164102.87792805478
402,195790.4041959134
403,228759.58478910034
404,285758.4112031644
405,183316.49071887258
406,144702.1016946407
407,198647.74430245988
408,154813.65122774182
409,176220.12763219807
410,201004.00592553001
411,194561.5191675415
412,400246.458462377
413,214544.7624473554
414,245577.93457147302
415,100327.89069013996
416,188342.25430090417
417,286355.67650198675
418,159907.42209111556
419,175737.63184480902
420,187918.35063868747
421,222609.32281957407
422,158448.26174105637
423,412044.8015309964
424,339818.6903558258
425,359029.0929534408
426,190722.40707533178
427,173594.12869047225
428,161909.35483597635
429,165645.94305766752
430,288935.87201399595
431,383447.8569071053
432,180063.707695986
433,313481.78411631455
434,138849.83192031394
435,147090.29385188167
436,328911.49276247696
437,157714.18352255548
438,166413.24506890585
439,206080.45070034877
440,283356.64604287926
441,136903.15248575347
442,382978.77766051784
443,323108.96803290775
444,250020.06356924667
445,139285.58580734662
446,137382.49639463687
447,145198.00296959255
448,129680.98184657369
449,146432.50055186287
450,138498.88695989168
451,168722.47565409445
452,364141.21780940087
453,142360.59245651393
454,134806.06558508403
455,207591.8094227053
456,189970.13713317006
457,161104.45514379768
458,134446.41997021428
459,177553.92275761045
460,165750.71415023974
461,167359.91252891056
462,226784.2516046378
463,282420.5017430981
464,158114.67228451144
465,264505.724698053
466,191356.933160611
467,305920.519577869
468,89850.02629998686
469,226472.65836462713
470,317448.9413814036
471,314989.58361713565
472,254825.85359273475
473,186561.72219819616
474,176499.96500067212
475,302020.13593193004
476,161110.12117413527
477,172290.42706156557
478,191649.37935464256
479,170767.14227899324
480,210719.89574773688
481,151250.28539668594
482,157847.12330672063
483,261325.57413550137
484,99836.24125081742
485,220379.5140319405
486,249988.5545606521
487,243127.02945226632
488,188808.9058514398
489,223568.12538023503
490,71416.19977359462
491,146421.45350213101
492,126395.57692780091
493,139548.43475238796
494,138334.24840730437
495,276639.9505132902
496,123890.75747490404
497,181373.21360200763
498,242381.0133871155
499,106569.04433479905
500,286470.69428739644
501,258116.84574738867
502,161572.57377379312
503,220800.6981924832
504,182673.8351980369
505,346139.8881198003
506,330840.144116695
507,175962.56906036078
508,180627.6446882485
509,221755.77344811495
510,359191.0654808714
511,259011.31481853896
512,234359.50752654302
513,294753.78841113014
514,70237.72067570192
515,279094.89866191585
516,355693.9515248346
517,218978.8037359524
518,229698.14545323455
519,182690.2573052783
520,233275.88559040267
521,223509.68609860176
522,178073.96731825275
523,151183.93155559115
524,168686.69085304037
525,287612.8801267024
526,225435.20894150253
527,302200.4230808529
528,240175.8488124202
529,172841.09655728695
530,225875.5886202089
531,327718.9846941524
532,171100.49438118224
533,373429.79232217575
534,180019.30776669973
535,81675.02308058707
536,199163.2956456253
537,189999.37541422865
538,160644.70944889437
539,150152.7800420299
540,111782.25470655832
541,155683.70235057577
542,210910.51750852965
543,164850.3735605849
544,134461.80377347968
545,121763.68913687987
546,133983.44808418865
547,260118.43595937535
548,195135.65792465248
549,172622.0245419831
550,250608.80874220983
551,184315.50832673974
552,148713.70107030895
553,132072.9247893866
554,172555.5221446472
555,127303.81291627583
556,165506.992201288
557,190477.12191422287
558,221073.23816881463
559,82764.00008567092
560,402138.7838325687
561,160989.38785179975
562,295764.07047185034
563,122472.59868443722
564,159527.0950480853
565,291536.070870078
566,400637.8535095975
567,183323.06172422555
568,144411.33366922525
569,203042.8738904311
570,492718.1951062043
571,148009.32296413108
572,96626.89337850852
573,214917.43328460027
574,312576.7972172331
575,385228.6459798187
576,175054.81525898335
577,301994.18774384295
578,171965.0180818673
579,141789.92053272054
580,316958.73049889377
581,246364.10520507718
582,476812.164721065
583,358985.5892567127
584,333194.771395218
585,281208.71650934586
586,178102.43165454455
587,499404.2835072773
588,182346.86009595386
589,318532.6284809772
590,214161.70604161386
591,154139.10529563655
592,212332.3627542707
593,241393.3880518003
594,322224.1702496314
595,184852.1412242259
596,194413.96865791903
597,264956.1702676478
598,132091.09633682034
599,266618.4345429837
600,172129.52966031677
601,200786.4207995775
602,160536.47688939664
603,228867.9662257373
604,218090.46598491335
605,204335.51322501738
606,195250.56654220412
607,194558.83972054685
608,187470.94704855516
609,178801.43369749244
610,214704.07926755038
611,214235.86695114404
612,149942.7527055748
613,324539.8761055429
614,479649.58159349544
615,190767.4360373361
616,204981.90539865464
617,237549.67315685068
618,144643.0491854218
619,107189.01293357162
620,284083.0822952108
621,221129.49305112098
622,214841.46757230163
623,205178.68638053036
624,233005.1950593443
625,154843.75689285953
626,187081.02412547517
627,229181.15431084408
628,262205.87663155445
629,178636.62809559287
630,188789.6524081649
631,179854.8387971292
632,263012.8711501044
633,205037.06986158984
634,178862.68634474798
635,227629.52485716692
636,141062.64343516022
637,269338.5748095496
638,179178.0996922767
639,336175.14594270795
640,193593.46396438434
641,178989.48875320307
642,149499.38324538892
643,203904.09964553756
644,504990.5406668219
645,211152.5613095211
646,323286.7693074758
647,151368.94092798175
648,351004.7658267945
649,296116.89921720716
650,225677.774158144
651,252302.515212059
652,207082.73015311948
653,176358.6356663079
654,437473.2412747109
655,256127.4873877154
656,140328.04138374332
657,263222.62157486414
658,288417.3892942184
659,353690.02902636735
660,214240.22448049794
661,233388.41753776054
662,280387.5447247878
663,173924.2647226196
664,140001.08248809923
665,146831.08293383406
666,180426.63360079407
667,176675.637377403
668,205851.2329731338
669,69221.08687092073
670,121019.90566220088
671,426090.05590384663
672,268402.1927035736
673,238204.23110702357
674,125198.90633459098
675,277279.8382496166
676,309182.46625310654
677,167141.79947894267
678,79112.46198942936
679,333242.7696885587
680,222069.84175126627
681,176450.22166989918
682,165974.3929721807
683,167306.52868272745
684,208235.04016529344
685,297167.16047678096
686,182914.7814487051
687,264745.4330325834
688,231022.767178182
689,140576.24433551676
690,220215.68514079796
691,205638.49322972554
692,140284.20290576617
693,251352.82033675365
694,190137.3264430188
695,156559.19506514448
696,233570.31832059112
697,176229.51499361952
698,148174.1747343113
699,107579.45940740878
700,212926.87933338742
701,210090.32672209837
702,200068.67426989655
703,515151.49562185357
704,214979.94731910172
705,240519.2301506258
706,245465.3218982985
707,231343.49859077696
708,289199.253715887
709,116362.67824606843
710,494051.3697956439
711,248138.51289925925
712,173508.16033810962
713,266875.56589555455
714,111083.86091022093
715,491777.4497198122
716,386042.548934289
717,142627.94980138403
718,125049.55295984693
719,232543.76484111056
720,416117.8370438899
721,109911.42930748023
722,156606.68774042555
723,343160.0272562164
724,145191.54805516542
725,185570.06299333356
726,137209.35747900457
727,302822.4125279979
728,511200.5075409502
729,140189.41452009202
730,180007.60238579346
731,153781.8963835175
732,201027.64237399085
733,200123.68584662507
734,244403.21342272393
735,144414.26203762466
736,183675.81458549065
737,172001.9401814471
738,492984.48111906816
739,190119.27238475982
740,146419.50188257208
741,305977.07880549063
742,115924.96587293886
743,134784.17710854555
744,247602.97379788593
745,134059.5548731625
746,173177.62671800808
747,214501.167401055
748,105446.18803150562
749,149266.7901176056
750,123582.55827142979
751,327112.7074035816
752,190635.17507263317
753,152753.6277283814
754,239975.54412173387
755,197696.21626262364
756,287823.0343032427
757,131502.58725846183
758,149413.22656909612
759,238833.9085372452
760,340994.23583296256
761,304037.81332496536
762,140046.59605950126
763,147346.23584483375
764,257376.061095761
765,164159.6212476476
766,193103.75852728705
767,225313.4842215029
768,200023.4544880022
769,223112.47029744007
770,393215.2572618819
771,315510.8419893691
772,159191.73974365805
773,182981.07080881885
774,349792.89155369654
775,158212.31799901053
776,336362.71990010457
777,501279.8804559526
778,157279.68894370983
779,184980.8368520067
780,163816.16513218544
781,139500.8932104215
782,231581.00450549115
783,199210.5246650449
784,149415.36413266676
785,231756.98716892253
786,184130.27138726256
787,276591.8265794964
788,244846.35138133413
789,152977.4704778126
790,178395.7517245528
791,142893.40035378112
792,124139.82719529029
793,164622.67797420535
794,156592.29825180743
795,182876.84847109942
796,180280.69248093822
797,478966.25080422044
798,206342.34776594685
799,175155.06529559675
800,168648.99081341166
801,130091.44974818647
802,340676.9873200283
803,234005.08622803498
804,177225.67161983397
805,188448.78248268057
806,180497.20431184393
807,133839.42882685966
808,153019.06110129337
809,187907.2039398027
810,203073.67412128006
811,285029.0997542982
812,107905.89384313015
813,218024.83318011902
814,192688.52315617353
815,180111.2908904035
816,349780.0833416941
817,184837.5725565115
818,176773.77720277826
819,213077.75626798172
820,375769.6888743717
821,201298.628784443
822,129390.90535827652
823,146014.88091953882
824,121179.10697473718
825,379122.4708995313
826,180442.7424907757
827,70937.4053725353
828,200586.07850709988
829,172305.34338858933
830,145979.00997196624
831,171599.00439244325
832,367173.7815742006
833,243706.67648179806
834,158345.7043452454
835,142578.11429614457
836,145876.88221542223
837,150349.62405402248
838,481648.34618568316
839,168174.5952553267
840,142522.64453843364
841,313225.4580618569
842,247030.61008882345
843,171338.87421416107
844,389779.1180747147
845,124817.31959729521
846,138368.79356810095
847,68577.08541016733
848,148548.40605344353
849,248634.1395543309
850,271390.6664175123
851,197877.91091764328
852,244105.3182525385
853,217236.16485061625
854,234933.47875608015
855,159032.32181853658
856,261948.96795200906
857,145300.44311393343
858,114956.49960957743
859,140743.5604891463
860,541349.198486345
861,231627.22352027206
862,202611.94717425157
863,175822.68610432855
864,150070.8463898882
865,188989.9162495525
866,317825.1268902492
867,181409.56705531213
868,287741.4452040208
869,217090.87976212765
870,291040.1456521209
871,181253.10856101156
872,236016.34214597297
873,222328.88575154555
874,180617.82472650497
875,253296.40105434338
876,164918.38260371584
877,245101.3731989235
878,184376.58844897177
879,205774.7502554137
880,203786.66536821492
881,229279.85751793618
882,146885.02271034976
883,198293.0872649157
884,211071.48654730455
885,240176.49160529525
886,136027.26626076602
887,202474.73415525386
888,218018.69776534158
889,135347.86800559796
890,175430.02316972564
891,212631.8580636141
892,237011.32098020572
893,172673.96542051045
894,153487.90508074136
895,319032.5183066118
896,97448.33836142845
897,156564.02643912256
898,185367.5645771877
899,334077.9983447103
900,239978.84711467754
901,169539.19070518753
902,110414.12585152761
903,160764.18769080873
904,222618.65701853883
905,408661.09280932514
906,266081.1009677982
907,239004.73786680613
908,175639.46390162493
909,263733.8455391472
910,161691.89549806094
911,199576.06708638387
912,366466.2707747969
913,128567.7896129191
914,198590.64558120328
915,215248.35284396182
916,231125.5335048383
917,302683.16187071503
918,149172.13230971637
919,220179.98572188106
920,177504.7537626002
921,199557.16697463844
922,221329.13137518684
923,100986.40890395475
924,252560.45882158913
925,200359.20881679037
926,217670.36448593522
927,238629.96067884908
928,402741.534961537
929,463621.72044973576
930,173495.56732316187
931,242554.77659403044
932,186877.62569277012
933,143614.08075991107
934,235030.87361488974
935,219045.6552770929
936,239662.36596055885
937,232287.09031827233
938,166211.71543962604
939,90320.4771188224
940,169330.79006606803
941,275556.2117053359
942,194925.63285295555
943,149882.33550702213
944,342173.89100226405
945,167761.0988677271
946,310685.06465854606
947,219504.42034531623
948,90499.6380941243
949,147812.28669958378
950,209617.36483259633
951,178214.40794881704
952,349558.17922886106
953,187319.3720811122
954,103784.7275421597
955,217336.94159253943
956,407911.308326271
957,273186.57518676546
958,120695.50370911717
959,272979.53777830617
960,300018.9294153792
961,334266.9904909099
962,187182.1180187303
963,359180.8436108058
964,260390.48540118008
965,170205.9803983197
966,233144.80852410517
967,136455.48765618523
968,259605.84020078927
969,264414.17234183865
970,192055.13771651196
971,167590.63718357417
972,177466.4715852906
973,179263.10626797914
974,186914.23212099704
975,265293.4846880492
976,210113.42224136728
977,151961.31207588952
978,337426.98241632065
979,187404.23398719676
980,109210.25656561804
981,269794.68571043084
982,172137.24055542814
983,232862.27785025406
984,298597.98844618956
985,185949.50327417365
986,113022.0787173892
987,264690.6988026712
988,133721.90711901753
989,159068.62766310188
990,249098.2306103377
991,224160.72202088023
992,270001.6273410155
993,187390.27411116735
994,404940.7937501527
995,437905.0526653806
996,124838.93658051628
997,162671.51512417695
998,172022.8690639388
999,215451.75817896667
1000,192995.78543148906
1001,103023.07137597665
1002,145908.54202799662
1003,183738.7000796845
1004,398618.6914834892
1005,132005.1831620055
1006,269763.53764683096
1007,357976.11908223963
1008,198784.61828906485
1009,214270.68381913484
1010,453456.5929817784
1011,266254.93109229533
1012,235847.71040945183
1013,233342.777580693
1014,93925.35884105977
1015,267895.6303006724
1016,221254.0881113642
1017,432252.57202693494
1018,327279.441400935
1019,297407.79332187906
1020,209716.9850050695
1021,230320.0082146289
1022,271209.24541890086
1023,84495.25812895225
1024,355829.4902019443
1025,162799.11836901167
1026,143802.30696735438
1027,313400.9719664645
1028,200720.85444042043
1029,131374.54857997427
1030,114478.66822539929
1031,216546.32161519828
1032,228564.19831599778
1033,264830.6025868016
1034,124788.3630136397
1035,251929.81709114785
1036,210729.73346607955
1037,193764.87226350527
1038,202774.2601911074
1039,429892.19507683674
1040,384202.7948935941
1041,160969.50481327667
1042,176121.0962285278
1043,191933.86405962668
1044,279339.16384394973
1045,241400.78346021648
1046,198009.15415540535
1047,180261.90553180882
1048,205479.47011609224
1049,216079.75847873001
1050,289364.76087476657
1051,166622.07890478466
1052,184834.32317311468
1053,160024.75215798806
1054,129329.72808555508
1055,221731.53066389885
1056,130517.55595147399
1057,245688.5877354802
1058,185204.88656953297
1059,175731.48891281142
1060,202285.1843464259
1061,152420.69737512842
1062,222523.71761261308
1063,166643.0392866995
1064,368780.0203224102
1065,176314.6297172766
1066,201662.948618045
1067,195386.35839648248
1068,257717.20278417054
1069,330543.2174883586
1070,160995.21253111906
1071,88216.98373137978
1072,240302.17648474578
1073,197501.16364191647
1074,340195.1188972587
1075,403798.86388877174
1076,177525.2548192141
1077,248118.37353483378
1078,143676.23025593077
1079,193917.4519996114
1080,167973.9345630745
1081,294493.81693690293
1082,176528.63203776185
1083,148343.37881815172
1084,160779.86265338384
1085,268929.36714751786
1086,137337.22060909684
1087,385489.62437810533
1088,242654.50178730258
1089,71155.46892695256
1090,139122.6100792419
1091,235013.48201224126
1092,210389.52384571027
1093,242593.83905316223
1094,242040.35506553017
1095,285921.95349546266
1096,122206.19386215936
1097,230631.18471023883
1098,431015.76153053937
1099,260969.41134234503
1100,125151.71208163763
1101,114008.6765889345
1102,147267.889928767
1103,214150.51528108303
1104,179165.98130628723
1105,309698.88758010144
1106,196288.18309624284
1107,220515.9939458619
1108,193023.79374090565
1109,203643.25600618377
1110,193566.6745514613
1111,81372.25128251957
1112,384788.4952031125
1113,103412.01619746357
1114,504986.5346560733
1115,228850.14718686574
1116,232426.67941200762
1117,205080.98233627027
1118,258207.9040366723
1119,340796.7512628439
1120,292339.5127001408
1121,307571.12297556276
1122,183925.09222459112
1123,267221.65611807286
1124,180265.97120225467
1125,172996.2459415992
1126,132935.64017266658
1127,134799.2752378396
1128,327287.4741106701
1129,299998.4823799464
1130,175460.29891885765
1131,142759.14318829466
1132,186791.9086566951
1133,135466.86501580547
1134,192712.8383121942
1135,155044.3571872895
1136,209574.37483321808
1137,282550.98670391826
1138,256095.13115198177
1139,195925.77242406283
1140,129889.79915960364
1141,266260.67088210204
1142,238616.91265343354
1143,178532.28073157225
1144,127940.9240739023
1145,169284.112892897
1146,186440.2431640858
1147,187995.90962222175
1148,280779.6035905482
1149,210380.69672874716
1150,201516.1812694541
1151,171478.3658943046
1152,148581.68121229444
1153,363537.71980228444
1154,150505.52188666974
1155,173209.17864600528
1156,64872.94412340291
1157,342374.6758469221
1158,232983.04159152717
1159,184937.55773513622
1160,148902.7328529367
1161,257672.69075511378
1162,195118.5852859677
1163,332528.83192012843
1164,264802.91896599537
1165,152570.88112784314
1166,193183.59994834964
1167,190986.3605521778
1168,261342.0445562546
1169,410108.51015398116
1170,199341.042398645
1171,213241.77595963798
1172,274840.9516487652
1173,153593.20455141034
1174,199139.80079959976
1175,264035.77487114904
1176,200898.81335539845
1177,89448.7257233073
1178,276790.1060378223
1179,167888.71834936526
1180,213961.73758161592
1181,199166.47068939966
1182,333861.40577583364
1183,102144.70360468482
1184,272313.04219445284
1185,149029.8233199171
1186,241962.80407928932
1187,289582.3055831269
1188,241894.7820336329
1189,168549.2503401317
1190,189357.94689397124
1191,252403.09829602123
1192,242655.67113389692
1193,185867.72215731983
1194,139586.47642238814
1195,184290.66416088957
1196,167920.52105027437
1197,126251.37604623064
1198,290995.7014885629
1199,144610.15505820833
1200,110657.50431369964
1201,438515.016671718
1202,185733.64407726805
1203,219188.7911813318
1204,299573.143853193
1205,161070.09231276854
1206,212239.63012119307
1207,174519.49224399883
1208,197555.75620489582
1209,208165.90181735717
1210,190898.00175217004
1211,144767.35034499076
1212,174741.95998774876
1213,297372.1433860246
1214,172154.1932401412
1215,165740.74098252144
1216,147365.49788218262
1217,113916.33641435813
1218,242561.26767318332
1219,204147.53197126198
1220,148946.66847737363
1221,287927.7266532032
1222,200388.3438202981
1223,171167.64534054688
1224,133537.78705438372
1225,184469.6283906951
1226,252436.73042043071
1227,222473.32634185863
1228,237976.47879182186
1229,196938.33584051076
1230,280719.839301369
1231,266583.0296785293
1232,203846.78165415503
1233,135050.7741943487
1234,348826.15970264934
1235,176524.10960991003
1236,186315.43217757158
1237,201794.0006269468
1238,157013.5465423326
1239,181370.0153774276
1240,357968.80567191984
1241,124606.28948888347
1242,221536.99575336
1243,283655.1515204455
1244,168811.54435112723
1245,320415.83577338525
1246,174032.93339845573
1247,178016.34429440417
1248,148098.06506659993
1249,380352.06164081837
1250,343438.3607086822
1251,216334.2089402323
1252,170035.69393277142
1253,401720.69956474064
1254,124742.3175061699
1255,193233.07336993143
1256,125978.1081002317
1257,195687.80530570884
1258,143214.30898784817
1259,210273.3541091136
1260,135980.7842843274
1261,136843.48035704833
1262,258805.64250165972
1263,200341.85080420575
1264,221060.4362133691
1265,115797.93113065121
1266,231966.97918496153
1267,449308.20366780146
1268,258878.80236485894
1269,349462.3191411812
1270,146562.96594660296
1271,100805.21454176075
1272,241354.24816252023
1273,185483.373206308
1274,142032.3957000914
1275,231851.5421483427
1276,183210.64598849945
1277,193061.31397593993
1278,241375.2714952443
1279,360501.109686999
1280,233017.9274315708
1281,134671.2607435623
1282,282991.32996898127
1283,117201.61436870406
1284,176957.87033417964
1285,204654.10217599134
1286,117585.6935600904
1287,170585.4268259715
1288,140261.00917181128
1289,224278.53631920743
1290,210387.55909153455
1291,116738.57790559737
1292,120421.1856442815
1293,178914.9932629503
1294,146049.90478748674
1295,293734.8773279145
1296,252426.7557868167
1297,208539.77680921918
1298,167738.69968024842
1299,193536.4092185524
1300,338052.4397601099
1301,360355.4011776439
1302,218040.63889933022
1303,136593.12156405163
1304,267074.73760858463
1305,291710.2436763921
1306,171268.70703411652
1307,69743.25886356522
1308,124275.86476307723
1309,454340.29789924296
1310,175875.71187166992
1311,190870.59023367972
1312,208754.89569048295
1313,477198.1778037052
1314,164597.9943353043
1315,122601.8425783279
1316,326763.0257758978
1317,265403.83518889634
1318,312763.1211261546
1319,192866.2500436549
1320,103356.42654092843
1321,162725.78045359385
1322,177405.9027040799
1323,253953.96083407608
1324,235327.07798603651
1325,151997.1648010052
1326,151129.27599864552
1327,351349.3315136336
1328,284221.6430337824
1329,159327.65706492483
1330,261464.37468564193
1331,218542.4927581631
1332,197849.54341892485
1333,136834.01584819233
1334,213453.6421083321
1335,166222.51074622205
1336,216077.54838613412
1337,147570.64865437726
1338,114357.54755060532
1339,260796.61254770626
1340,411348.77193674375
1341,184601.7821523222
1342,329936.9400747687
1343,210800.71607117532
1344,260129.39111627347
1345,110868.18076698825
1346,158027.96559008013
1347,130679.56008625543
1348,149192.41270646808
1349,124939.43905559398
1350,239389.25708838884
1351,182882.14343800742
1352,242269.68632368243
1353,145980.37435143848
1354,346474.2713423552
1355,190927.82484032583
1356,235697.8278311584
1357,512814.6523502446
1358,325363.9937671495
1359,183512.12837708983
1360,310771.3976939854
1361,131279.9693961999
1362,178935.44694313902
1363,281012.3701176044
1364,184730.61150446895
1365,108017.84733974907
1366,128742.90673371678
